gene_symbol,pathogenic,likely_pathogenic,uncertain_significance,likely_benign,benign,association,not_provided,other_or_unclassified
TNFRSF9,3,0,1,0,0,0,0,35
CTSF,5,10,3,1,0,0,0,127
DNAAF3,17,2,4,0,0,0,0,101
AIPL1,13,2,1,0,0,0,1,25
MPDU1,0,5,2,0,0,0,0,38
MFSD8,39,13,2,0,0,0,0,65
PEX26,14,1,2,0,0,0,0,44
DPM1,8,1,0,1,0,0,0,51
COL7A1,171,46,3,1,0,0,0,386
CRADD,1,2,0,0,0,0,0,19
ATF6,11,6,3,0,0,0,0,106
CEP290,267,38,5,0,0,0,1,433
S1PR2,0,0,0,0,0,0,0,29
DNASE1L3,4,3,1,0,0,0,0,43
VPS33B,17,11,3,0,0,0,1,124
SAMHD1,39,10,2,1,0,0,1,74
PRKCD,6,2,0,0,0,0,0,38
F10,1,4,0,0,0,0,0,45
MMACHC,18,2,4,0,0,0,0,26
DNAJC19,6,3,3,1,0,0,1,22
PGM1,12,1,1,0,0,0,0,97
MSRB3,2,3,0,0,0,0,0,24
SMPD1,60,9,1,1,0,0,0,122
TPRN,10,3,0,0,0,0,0,174
UNC13D,51,13,1,0,0,0,0,176
PNPLA2,15,2,0,0,0,0,0,92
AGXT,48,11,0,0,0,0,0,26
MTX2,2,0,0,0,0,0,0,77
TCAP,9,2,4,0,0,0,0,27
BIN1,3,0,11,0,0,0,0,78
BRCA1,322,6,3,0,0,0,2,39
ERCC4,20,5,7,0,0,0,0,117
C1QBP,1,1,1,0,0,0,0,56
OTOF,82,33,1,2,0,0,3,299
NPHP1,28,17,3,2,0,0,0,79
DNAAF5,21,3,2,1,0,0,0,177
BLM,104,31,8,1,0,0,0,107
LMBRD1,17,9,0,0,0,0,0,113
RSPH9,5,4,0,0,0,0,0,44
TCIRG1,56,24,4,2,0,0,0,99
CANT1,15,1,2,1,0,0,0,58
MAG,3,0,3,1,0,0,0,69
KCNJ10,4,0,0,1,0,0,0,22
DNAH1,38,19,5,5,1,0,0,681
COQ4,12,8,1,0,0,0,0,53
CNGB3,71,20,3,1,0,0,0,79
GCDH,35,5,0,0,0,0,0,46
HTRA2,2,0,3,0,0,0,0,62
PEX2,24,5,1,0,0,0,0,42
TECRL,7,5,1,0,0,0,0,116
WDR72,7,19,2,0,1,0,0,212
CFAP43,7,1,1,0,0,0,0,340
PMPCA,2,1,1,0,0,0,0,101
PIDD1,3,3,0,1,0,0,0,197
LCA5,24,7,3,0,0,0,0,64
MAK,35,10,3,0,0,0,0,115
ADAMTS18,23,8,9,1,1,0,0,227
